,Topic,Total_Precision,Total_Recall,Total_F1
0,kangaroo,0.8279632104409708,0.7812016751315143,0.8038606402036306
1,liechtenstein,0.828430678914575,0.7798305504462298,0.8032576441764832
2,john adams,0.8284084447498979,0.7781683268218205,0.8024147769500469
3,blaise pascal,0.8318216800689697,0.7799209308624268,0.8049566888809204
4,piano,0.8278583638808307,0.7787414929446053,0.8025042309480555
5,london,0.8227279186248779,0.7652521431446075,0.7928680330514908
6,english language,0.8220724662144979,0.7824617872635523,0.8016976912816366
7,pablo picasso,0.8362762987613678,0.7691243171691895,0.8012238144874573
