,Topic,Total_Precision,Total_Recall,Total_F1
0,kangaroo,0.8250539447810199,0.7805210980209144,0.8021151842297735
1,liechtenstein,0.8351407226394204,0.7798397243022919,0.8063947926549351
2,john adams,0.8281919976760601,0.7782463965744808,0.8023838421394085
3,blaise pascal,0.838913061618805,0.7814148616790771,0.8090808010101318
4,piano,0.8241799228331622,0.7802219040253583,0.801548652789172
5,london,0.8336702585220337,0.774065800011158,0.8027273714542389
6,english language,0.8153808464606603,0.7859710454940796,0.8002394239107767
7,pablo picasso,0.8332895338535309,0.7812638819217682,0.8063878953456879
