,Topic,Total_Precision,Total_Recall,Total_F1
0,kangaroo,0.8294265850170238,0.7798668709961144,0.8038152311299298
1,liechtenstein,0.8390278868815478,0.7779613856007072,0.8072422251981848
2,john adams,0.8378266281095045,0.7793017132528897,0.8073782427557583
3,blaise pascal,0.8459104037284851,0.7845497155189514,0.8139458513259887
4,piano,0.8268689583329594,0.7821218862253076,0.8038216022884145
5,london,0.8321799039840698,0.7632095962762833,0.7961781769990921
6,english language,0.8279270430405935,0.7805345952510834,0.803411121169726
7,pablo picasso,0.8512564420700073,0.7793008804321289,0.8135863780975342
